Freight Flows,Corridor,Lat,Long,Grouping,Daily $M,Daily Tons,AM Peak (7:00-8:59am) $K,AM Peak (7:00-8:59am) Tons,MD 1HR (1:00-1:59pm) $K,MD 1HR (1:00-1:59pm) Tons,PM Peak (4:00-5:59pm) $K,PM Peak (4:00-5:59pm) Tons,Daily $M (2020),Daily Tons (2020),Daily $M (Net Change 2020 to 2045),Daily Tons (Net Change 2020 to 2045),Daily $M (Growth 2020 to 2045),Daily Tons (Growth 2020 to 2045),Daily $M (Decrease 2020 to 2045),Daily Tons (Decrease 2020 to 2045)
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,"Coal, Oil, Waste, etc.",2.146,4207,203.715,399,136.468,267,92.564,181,1.869,3513,0.277,694,0.277,694,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Electronics,5.647,200,945.468,34,305.221,11,252.071,9,1.356,69,4.291,131,4.291,131,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Food,3.097,1898,353.258,216,136.746,84,73.67,45,1.192,720,1.905,1178,1.905,1178,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,"Gravel, Sand, etc.",0.052,3925,10.113,757,4.216,315,1.196,89,0.034,2455,0.018,1470,0.018,1470,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Machinery,2.261,482,393.639,84,21.829,5,21.638,5,1.474,477,0.787,5,0.787,5,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,Misc manufactured,1.086,173,230.05,37,63.008,10,47.21,8,0.996,179,0.09,-6,0.09,0,0,6
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,"Motor Vehicles, etc.",3.119,226,275.597,20,139.942,10,190.79,14,1.891,123,1.228,103,1.228,103,0,0
Tual Sher Rd EB I-5,Tigard/Tualatin to Sherwood/Newberg,45.382437,-122.755966,"Wood, Paper, etc.",0.697,1315,78.052,147,79.172,149,5.933,11,0.478,899,0.219,416,0.219,416,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Agriculture,0.234,509,46.736,102,2.574,6,26.944,59,0.201,451,0.033,58,0.033,58,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,453.68214,-1228.41113,All Goods,3.954,3812,1500.228,1152,91.129,189,71.064,112,2.143,2780,1.811,1032,1.811,1032,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Chemical,0.1,170,35.86,61,3.627,6,0.933,2,0.037,65,0.063,105,0.063,105,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,"Coal, Oil, Waste, etc.",0.347,680,136.731,268,36.042,71,11.09,22,0.335,630,0.012,50,0.012,50,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Electronics,1.305,46,680.739,24,0,0,26.775,1,0.366,19,0.939,27,0.939,27,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Food,0.776,475,179.473,110,28.976,18,0,0,0.299,180,0.477,295,0.477,295,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,"Gravel, Sand, etc.",0.017,1285,4.859,364,0.936,70,0.258,19,0.011,787,0.006,498,0.006,498,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Machinery,0.654,139,233.593,50,10.312,2,0,0,0.154,50,0.5,89,0.5,89,0,0
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,Misc manufactured,0.247,39,77.073,12,0,0,0,0,0.355,64,-0.108,-25,0,0,0.108,25
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,"Motor Vehicles, etc.",0.027,2,20.271,1,0,0,0,0,0.104,7,-0.077,-5,0,0,0.077,5
Tual Sher Rd EB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.368214,-122.841113,"Wood, Paper, etc.",0.246,465,84.893,160,8.661,16,5.065,10,0.28,527,-0.034,-62,0,0,0.034,62
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Agriculture,0.204,444,84.277,183,4.962,11,0,0,0.106,237,0.098,207,0.098,207,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,453.8292,-1227.56127,All Goods,18.911,10447,3553.938,2099,1100.467,576,424.314,304,10.558,8154,8.353,2293,8.353,2293,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Chemical,0.579,985,102.817,175,39.33,67,29.551,50,0.245,432,0.334,553,0.334,553,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,"Coal, Oil, Waste, etc.",1.541,3020,304.271,596,93.309,183,48.874,96,1.278,2403,0.263,617,0.263,617,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Electronics,6.326,224,1050.246,37,410.647,15,66.613,2,2.352,119,3.974,105,3.974,105,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Food,1.795,1100,339.317,208,73.556,45,77.524,48,0.928,561,0.867,539,0.867,539,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,"Gravel, Sand, etc.",0.024,1781,4.648,348,1.049,78,0.251,19,0.026,1902,-0.002,-121,0,0,0.002,121
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Machinery,5.679,1211,998.206,213,312.639,67,165.618,35,3.285,1062,2.394,149,2.394,149,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,Misc manufactured,1.326,211,300.113,48,0,0,7.865,1,0.397,71,0.929,140,0.929,140,0,0
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,"Motor Vehicles, etc.",0.684,50,224.624,16,110.478,8,0,0,1.257,81,-0.573,-31,0,0,0.573,31
Tual Sher Rd WB I-5,Tigard/Tualatin to Sherwood/Newberg,45.38292,-122.756127,"Wood, Paper, etc.",0.754,1423,145.419,275,54.497,103,28.017,53,0.684,1285,0.07,138,0.07,138,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Agriculture,0.064,139,39.719,86,0.747,2,0,0,0.054,121,0.01,18,0.01,18,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,453.69028,-1228.40963,All Goods,3.711,2384,1534.154,784,262.698,174,22.757,28,1.201,1658,2.51,726,2.51,726,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Chemical,0.059,100,10.734,18,11.116,19,0,0,0.011,20,0.048,80,0.048,80,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,"Coal, Oil, Waste, etc.",0.332,650,110.288,216,43.352,85,13.393,26,0.145,272,0.187,378,0.187,378,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Electronics,1.54,55,704.508,25,41.806,1,8.807,0,0.365,18,1.175,37,1.175,37,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Food,0.247,151,58.345,36,30.942,19,0,0,0.091,55,0.156,96,0.156,96,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,"Gravel, Sand, etc.",0.011,833,3.475,260,0.242,18,0,0,0.01,699,0.001,134,0.001,134,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Machinery,1.007,215,482.147,103,112.785,24,0,0,0.158,51,0.849,164,0.849,164,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,Misc manufactured,0.198,31,12.346,2,0,0,0,0,0.092,16,0.106,15,0.106,15,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,"Motor Vehicles, etc.",0.149,11,96.179,7,19.289,1,0,0,0.062,4,0.087,7,0.087,7,0,0
Tual Sher Rd WB OR 99W,Tigard/Tualatin to Sherwood/Newberg,45.369028,-122.840963,"Wood, Paper, etc.",0.105,198,16.413,31,2.421,5,0.556,1,0.213,401,-0.108,-203,0,0,0.108,203
