"Freight Flows","Corridor","Lat","Long","Grouping","Daily$","DailyTons"
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Food",1134142,658
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Gravel, Sand, etc.",653,49
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Machinery",976053,361
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Misc manufactured",186754,26
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Motor Vehicles, etc.",2511795,164
"Col Blvd WB Chimney Park","Rivergate to I-5",45.610041,-122.760483,"Wood, Paper, etc.",214851,362
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Agriculture",751132,1728
"Col Blvd WB Interstate","Rivergate to I-5",455.86977,-1226.9236,"All Goods",11282736,10335
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Chemical",3760596,5209
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Coal, Oil, Waste, etc.",831523,1650
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Electronics",1058842,43
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Food",927171,538
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Gravel, Sand, etc.",3231,240
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Machinery",904434,334
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Misc manufactured",182909,25
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Motor Vehicles, etc.",2628154,172
"Col Blvd WB Interstate","Rivergate to I-5",45.586977,-122.69236,"Wood, Paper, etc.",234744,395
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Agriculture",2168936,4989
"Lombard St NB Terminal 4","Rivergate to I-5",456.05478,-1227.65716,"All Goods",7508196,9491
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Chemical",1741594,2412
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Coal, Oil, Waste, etc.",713124,1415
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Electronics",575667,24
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Food",149173,87
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Gravel, Sand, etc.",1483,110
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Machinery",748407,277
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Misc manufactured",195422,27
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Motor Vehicles, etc.",1170519,77
"Lombard St NB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Wood, Paper, etc.",43871,74
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Agriculture",103684,238
"Lombard St SB Terminal 4","Rivergate to I-5",456.05478,-1227.65716,"All Goods",15419353,7342
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Chemical",2471562,3424
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Coal, Oil, Waste, etc.",766447,1521
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Electronics",891079,36
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Food",376921,219
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Gravel, Sand, etc.",0,0
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Machinery",3343577,1236
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Misc manufactured",87141,12
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Motor Vehicles, etc.",7271924,476
"Lombard St SB Terminal 4","Rivergate to I-5",45.605478,-122.765716,"Wood, Paper, etc.",107016,180
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Agriculture",0,0
"Marine Drive EB I-5","Rivergate to I-5",456.0806,-1226.88062,"All Goods",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Chemical",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Coal, Oil, Waste, etc.",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Electronics",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Food",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Gravel, Sand, etc.",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Machinery",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Misc manufactured",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Motor Vehicles, etc.",0,0
"Marine Drive EB I-5","Rivergate to I-5",45.60806,-122.688062,"Wood, Paper, etc.",0,0
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Agriculture",326896,752
"Marine Drive EB Ledbetter","Rivergate to I-5",456.37801,-1227.58713,"All Goods",17281175,5671
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Chemical",46195,64
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Coal, Oil, Waste, etc.",587472,1166
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Electronics",2529786,103
"Marine Drive EB Ledbetter","Rivergate to I-5",45.637801,-122.758713,"Food",2246598,1304
